City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,beacon square,28.2086,-82.7554,303.15,74,0,0.89,US,1717982596
282,rizokarpaso,35.6,34.375,298.23,77,0,2.88,CY,1717982597
283,birao,10.2849,22.7882,298.81,66,100,1.75,CF,1717982597
284,nagqu,31.5,92.0,282.08,60,38,2.99,CN,1717982598
285,north battleford,52.7834,-108.2847,289.2,48,100,5.66,CA,1717982599
286,general acha,-37.377,-64.6043,286.21,48,100,3.86,AR,1717982599
287,clodomira,-27.5744,-64.1311,294.3,52,100,4.27,AR,1717982600
288,zambezi,-13.5432,23.1047,288.61,53,4,3.73,ZM,1717982600
289,oulmes,33.4258,-6.0014,285.99,80,100,0.64,MA,1717982601
290,ceeldheer,3.8488,47.1806,298.17,84,91,8.45,SO,1717982601
291,beipiao,41.7919,120.7792,300.35,36,41,5.98,CN,1717982602
292,luwingu,-10.2621,29.9271,285.26,93,84,2.53,ZM,1717982602
293,olinda,-8.0089,-34.8553,300.0,74,20,6.69,BR,1717982597
294,sao joao da barra,-21.6403,-41.0511,296.62,78,5,7.65,BR,1717982603
295,trinidad,-14.8333,-64.9,296.6,61,3,1.19,BO,1717982459
296,punta arenas,-53.15,-70.9167,274.21,93,100,2.06,CL,1717982604
297,pacific grove,36.6177,-121.9166,296.14,82,100,5.66,US,1717982605
298,plettenberg bay,-34.0527,23.3716,286.25,64,8,1.58,ZA,1717982461
299,necochea,-38.5473,-58.7368,285.61,94,37,3.48,AR,1717982606
300,lorengau,-2.0226,147.2712,303.78,69,96,4.85,PG,1717982606
301,porkhov,57.765,29.5561,281.56,98,99,1.84,RU,1717982607
302,eravur town,7.7782,81.6038,300.05,77,87,1.34,LK,1717982607
303,magadan,59.5667,150.8,281.78,84,100,1.54,RU,1717982608
304,chernyshevsk,52.5243,117.0174,291.11,57,70,1.48,RU,1717982608
305,new plymouth,-39.0667,174.0833,289.15,100,45,5.71,NZ,1717982609
306,hede,33.7681,120.2517,304.18,42,4,4.88,CN,1717982610
307,mazagao,-0.115,-51.2894,301.18,95,33,1.41,BR,1717982610
308,balsas,-7.5325,-46.0356,300.13,49,58,0.88,BR,1717982611
309,akjoujt,19.6969,-14.4164,305.63,18,28,5.07,MR,1717982611
310,masterton,-40.9597,175.6575,288.21,86,98,5.64,NZ,1717982612
311,maribo,54.7766,11.5002,282.56,88,94,7.38,DK,1717982612
312,sinabang,2.4803,96.3801,300.38,79,95,1.22,ID,1717982613
313,kapa'a,22.0752,-159.319,303.14,71,0,6.17,US,1717982614
314,boise,43.6135,-116.2035,299.45,41,0,11.83,US,1717982505
315,st. john's,47.5649,-52.7093,284.14,93,100,10.29,CA,1717982338
316,zhaotong,27.3167,103.7167,290.3,82,71,0.76,CN,1717982616
317,kavieng,-2.5744,150.7967,301.65,79,100,6.26,PG,1717982590
318,samfya,-11.3649,29.5565,288.35,79,100,4.82,ZM,1717982617
319,diego de almagro,-26.3667,-70.05,286.73,45,0,0.59,CL,1717982617
320,mahibadhoo,3.7833,72.9667,301.58,73,15,5.71,MV,1717982470
321,ajasse ipo,8.2333,4.8167,296.25,92,99,4.39,NG,1717982618
322,bathurst,-33.4166,149.5806,285.22,80,53,1.34,AU,1717982619
323,hilo,19.7297,-155.09,302.75,61,0,3.6,US,1717982371
324,korsakov,46.6328,142.7813,286.06,99,100,3.53,RU,1717982620
325,hammerfest,70.6634,23.6821,284.4,71,40,4.12,NO,1717982620
326,haiku-pauwela,20.9219,-156.3051,301.6,65,20,10.8,US,1717982621
327,opuwo,-18.0607,13.84,289.55,36,0,2.21,NA,1717982471
328,bodden town,19.2833,-81.25,302.15,88,20,5.14,KY,1717982566
329,uturoa,-16.7333,-151.4333,298.94,81,69,5.66,PF,1717982623
330,elko,41.0002,-115.5012,297.16,40,78,1.79,US,1717982624
331,puerto baquerizo moreno,-0.9,-89.6,295.49,89,78,3.71,EC,1717982407
332,mili,6.0815,171.735,301.94,75,3,6.25,MH,1717982625
333,ulsteinvik,62.3432,5.8487,285.24,90,100,6.71,NO,1717982625
334,rongelap,11.1635,166.8941,301.69,80,100,7.29,MH,1717982626
335,kapuskasing,49.4169,-82.4331,281.2,81,75,2.57,CA,1717982462
336,xinji,37.9028,115.2036,307.1,20,2,1.53,CN,1717982627
337,ascoli satriano,41.2061,15.5615,296.07,43,4,3.93,IT,1717982628
338,port blair,11.6667,92.75,299.17,89,75,1.03,IN,1717982628
339,namibe,-15.1961,12.1522,293.11,87,5,3.11,AO,1717982629
340,saint croix,17.7397,-64.7388,299.79,79,0,2.57,VI,1717982629
341,agara,42.0376,43.8238,289.9,98,99,1.34,GE,1717982630
342,barcelos,41.5388,-8.6151,291.95,92,51,1.4,PT,1717982553
343,camacupa,-12.0167,17.4833,285.02,56,5,1.39,AO,1717982631
344,flin flon,54.7682,-101.865,286.6,61,6,3.63,CA,1717982632
345,eskisehir,39.7767,30.5206,286.08,87,0,2.06,TR,1717982632
346,sangamner,19.5667,74.2167,298.16,72,100,2.74,IN,1717982633
347,susuman,62.7833,148.1667,280.36,46,100,0.45,RU,1717982633
348,puerto san jose,13.9256,-90.8244,301.47,81,100,3.95,GT,1717982634
349,turi,40.9173,17.0212,298.92,61,0,2.06,IT,1717982635
350,klaksvik,62.2266,-6.589,278.66,97,100,13.26,FO,1717982636
351,flying fish cove,-10.4217,105.6791,299.97,89,75,4.63,CX,1717982636
352,harran,36.86,39.0314,297.85,42,0,4.56,TR,1717982637
353,broome,42.2506,-75.833,287.38,94,100,4.12,US,1717982637
354,avarua,-21.2078,-159.775,297.18,60,40,3.6,CK,1717982638
355,christchurch,-43.5333,172.6333,285.32,80,100,6.69,NZ,1717982638
356,turkeli,41.9476,34.3386,293.89,60,7,2.39,TR,1717982639
357,fort st. john,56.2499,-120.8529,284.09,71,100,3.09,CA,1717982406
358,xinxiang,35.3089,113.8672,306.65,18,92,1.7,CN,1717982640
359,dhuusamarreeb,5.535,46.3861,297.02,75,96,8.39,SO,1717982640
360,port saint john's,-31.6229,29.5448,288.5,60,0,2.64,ZA,1717982641
361,darnah,32.767,22.6367,296.51,56,0,4.45,LY,1717982641
362,beruniy,41.6911,60.7525,297.13,53,0,2.06,UZ,1717982477
